bennett_id,conventional_value,ml_predicted,ml_confidence,cm_agrees,lb_agrees,positional_consistency_improved,ngram_consistency,convergence_score,conflict_flag,notes
AB 124,?,ku,0.0934,,,,,0,no_evidence,Grid: No evidence available
AB 125,?,?,0.0,,,,,0,no_evidence,Grid: No evidence available
AB 126,?,wa,0.1037,,,,,0,no_evidence,Grid: No evidence available
AB 127,?,ku,0.1105,,,,,0,no_evidence,Grid: No evidence available
AB 128,?,?,0.0,,,,,0,no_evidence,Grid: No evidence available
AB 129,?,?,0.0,,,,,0,no_evidence,Grid: No evidence available
AB 130,?,re,0.0837,,,,,0,no_evidence,Grid: No evidence available
AB 131,?,o,0.0779,,,,,0,no_evidence,Grid: No evidence available
AB 132,?,sa,0.0798,,,,,0,no_evidence,Grid: No evidence available
AB 133,?,i,0.073,,,,,0,no_evidence,Grid: No evidence available
AB 134,?,to,0.0739,,,,,0,no_evidence,Grid: No evidence available
AB 135,?,ti,0.0603,,,,,0,no_evidence,Grid: No evidence available
AB 136,?,ka,0.1257,,,,,0,no_evidence,Grid: No evidence available
AB 137,?,pa,0.068,,,,,0,no_evidence,Grid: No evidence available
