greek,transliteration,english_gloss,minoan_form,category,query,matched,distance,distance_threshold,inscription_id,gorila_id,site,material,period,semantic_score,confidence_score,found_commodities,context_syllabograms,text_type,object_type,full_inscription_text,full_transliteration,sign_count,num_logograms,num_numerals,num_fractions,logogram_list,numeral_list,context_before_5,context_after_5,findspot_context,findspot_lat,findspot_lon,findspot_inscription_count,findspot_has_parallels,linear_b_parallels,semantic_field,context_plausibility,notes
Ἀσίνη,Asinē,Asine,asin,place_name,ASINU,ASI,1,1,39,HT28a,Haghia Triada - Villa Magazine,clay,LM IB,0.1,38.0,,ASIJA,administrative,tablet (page-shaped),𐘇 𐘤 𐘱 𐘾 𐄁 𐘱 𐘐 𐄁 𐛱 𐄋 𐜋 𐄈 𐜓 𐝆 𐜗 𐄇 𐜖 𐝉 𐘞 𐘽 𐜉 𐄇 𐘝 𐄈 𐙍 𐄉 𐛧 𐙍 𐄌 𐘇 𐘘 𐘀 𐘴 𐙉 𐄋 𐙘 𐄈 𐜉 𐄉 𐘚 𐘳 𐘱 𐜉 𐄐,A SI JA KA 𐄁 JA *21F 𐄁 GRA+QE 5 OLE+U 2 OLE+KI ¹⁄₂ OLE+MI 1 OLE+TU 𐝉 SA RA₂ OLE+DI 1 NI 2 VIN 3 VIR+KA VIN 6 A RU DA RA GRA 5 *304 2 OLE+DI 3 I TA JA OLE+DI 10,44,3,0,5,¹⁄₂; 𐝆; 𐝉; VIR+KA; 𐛧,GRA+QE; OLE+U; OLE+KI; OLE+MI; OLE+TU; OLE+DI; OLE+DI; OLE+DI,,SI JA KA 𐄁 JA,,,,96,no,,toponym/geography,"administrative context typical for toponyms; co-occurs with commodities: ¹⁄₂, 𐝆, 𐝉",approximate match (levenshtein=1); 3 logogram(s) present; text: administrative
Ἀσίνη,Asinē,Asine,asin,place_name,ASINU,ASI,1,1,40,HT28b,Haghia Triada - Villa Magazine,clay,LM IB,0.1,38.0,,ASIJA,administrative,tablet (page-shaped),𐘇 𐘤 𐘱 𐘾 𐄁 𐘉 𐘻 𐘅 𐘤 𐄁 𐘞 𐘽 𐙉 𐄑 𐜉 𐄋 𐘝 𐄈 𐙍 𐄊 𐘫 𐘽 𐘝 𐄌 𐘱 𐘐 𐙍 𐄌 𐘣 𐘆 𐘅 𐜉 𐄉 𐙍 𐄉 𐝃,A SI JA KA 𐄁 U MI NA SI 𐄁 SA RA₂ GRA 20 OLE+DI 5 NI 2 VIN 4 PU RA₂ NI 6 JA *21F VIN 6 WI DI NA OLE+DI 3 VIN 3 ¹⁄₄,36,1,0,2,¹⁄₄; 𐝃,OLE+DI; OLE+DI,,SI JA KA 𐄁 U,,,,96,no,,toponym/geography,"administrative context typical for toponyms; co-occurs with commodities: ¹⁄₄, 𐝃",approximate match (levenshtein=1); 1 logogram(s) present; text: administrative
Ἀσίνη,Asinē,Asine,asin,place_name,ASINU,ASI,1,1,1143,KH9,Khania,clay,LM IB,0.15,39.5,VIR,ASISU,administrative,tablet (page-shaped),𐘇 𐘤 𐘲 𐘊 𐘇 𐄁 𐛨 𐝫 𐝫 𐝇 𐘝 𐝃 𐝁 𐘻 𐝫 𐝫 𐘚 𐘤 𐄁 𐜙 𐝆 𐝫 𐝫 𐄈 𐙗 𐝃 𐙍 𐝫 𐝫 𐙗 𐝃 𐝉 𐝫 𐝫 𐝎 𐛌 𐙘 𐄇 𐝫,A SI SU PO A 𐄁 VIR+*307 ? ? NI ? MI ? SI 𐄁 ¹⁄₂ ? 2 ? CYP ¹⁄₄ ? ? CYP ? .3 SI+TA2 *304 𐝫 ? vase vase 𐝫 𐝫 [?] [?] ? 𐄇 𐝫,39,10,0,0,VIR+*307; 𐛨; NI; 𐝇; MI; 𐝃; 𐝁; ¹⁄₄; 𐝆; .3; vase; vase; 𐝉; [?]; 𐝎; [?]; 𐛌,CYP,,SI SU PO A 𐄁,,,,226,no,,toponym/geography; agriculture (grain),"administrative context typical for toponyms; co-occurs with commodities: VIR+*307, 𐛨, NI",approximate match (levenshtein=1); 10 logogram(s) present; text: administrative
Ἀσίνη,Asinē,Asine,asin,place_name,ASINU,ASI,1,1,1154,KH20,Khania,clay,LM IB,0.1,38.0,,𐝫𐝫A,administrative,tablet (page-shaped),𐝫 𐝫 𐘇 𐘤 𐘸 𐘴 𐄁 𐜚 𐝫 𐝫 𐝁 𐝫 𐘬 𐘙 𐘍 𐄁 𐜚 𐝆 𐘝 𐝃,𐝫 𐝫 A SI KI RA 𐄁 CYP+E ? ? DU ZA 𐄁 CYP+E ¹⁄₂ ? NI ¹⁄₄ pu vase,20,3,0,0,DU; 𐝁; ¹⁄₄; 𐝆; vase; 𐝃,CYP+E; NI,𐝫 𐝫,SI KI RA 𐄁 CYP+E,,,,226,no,,toponym/geography,"administrative context typical for toponyms; co-occurs with commodities: DU, 𐝁, ¹⁄₄",approximate match (levenshtein=1); 3 logogram(s) present; text: administrative
Ἀσίνη,Asinē,Asine,asin,place_name,ASINU,ASI,1,1,1665,ARKH2,Arkhalkhori,clay,LM IB,0.1,38.0,,*131B5A,administrative,tablet (page-shaped),𐘤 𐘀 𐘃 𐙂 𐘴 𐙎 𐄋 𐘇 𐘤 𐘀 𐘄 𐘚 𐄐 𐄈 𐙀 𐙕 𐘈 𐘦 𐘐 𐙈 𐄌 𐘇 𐘲 𐘫 𐘮 𐄊 𐘘 𐘻 𐝫 𐝫,SI DA TE KU RA *131B 5 A SI DA TO I 12 ? *301 SE DE *21F *118 6 ? SU PU WA 4 ? MI ? 𐝫 𐝫,30,0,0,0,,,TE KU RA *131B 5,SI DA TO I 12,,,,15,no,,toponym/geography,administrative context typical for toponyms,approximate match (levenshtein=1); text: administrative
Ἀσίνη,Asinē,Asine,asin,place_name,ASINU,ANANU,1,1,1093,HTZb159,Haghia Triada,pottery/ceramic,LM IB,0.1,38.0,,ANANU,religious,Clay vessel,𐘇 𐘅 𐘯 𐘤 𐘱 𐘈 𐝫,A NA NU SI JA SE 𐝫,7,0,0,0,,,,NA NU SI JA SE,,,,49,no,,toponym/geography,unexpected text type for toponym: religious; ⚠ context mismatch,approximate match (levenshtein=1); text: religious
Ἀσίνη,Asinē,Asine,asin,place_name,ASINU,AKANU,1,1,1399,KNZc7,Knossos,,Uncertain,0.1,38.0,,AKANU,unknown,Inked inscription,𐘇 𐘾 𐘯 𐘍 𐘠 𐄁 𐘬 𐘴 𐘙 𐄁 𐘇 𐙀 𐘴 𐄁 𐘱 𐘞 𐘴 𐘇 𐘅 𐘗 𐄁 𐘣 𐘢 𐝫 𐄁,A KA NU ZA TI 𐄁 DU RA RE 𐄁 A ZU RA 𐄁 JA SA RA A NA NE 𐄁 WI PI 𐄁 𐄁,25,0,0,0,,,,KA NU ZA TI 𐄁,,,,59,no,,toponym/geography,unexpected text type for toponym: unknown; ⚠ context mismatch,approximate match (levenshtein=1)
Ἀσίνη,Asinē,Asine,asin,place_name,ASINU,ANU,1,1,1454,PEZb,Petras,pottery/ceramic,Uncertain,0.1,38.0,,ANU?,religious,Clay vessel,𐝫 𐘇 𐘯 𐝫,A NU ? 𐝫,4,0,0,0,,,,NU ? 𐝫,,,,12,no,,toponym/geography,unexpected text type for toponym: religious; ⚠ context mismatch,approximate match (levenshtein=1); text: religious
Ἴαλυσος,Ialysos,Ialysos,ialus,place_name,IARUSU,IARU,1,1,12,HT9a,Haghia Triada - Villa Magazine,clay,LM IB,0.1,38.0,,10DINAU,administrative,tablet (page-shaped),𐘞 𐘁 𐄁 𐘃 𐄁 𐙍 𐄁 𐘂 𐘦 𐄁 𐄋 𐝕 𐙚 𐘹 𐄐 𐘆 𐘅 𐘉 𐄊 𐘿 𐘫 𐄈 𐙰 𐘆 𐘴 𐄈 𐝆 𐘳 𐘚 𐙌 𐄈 𐝆 𐘇 𐘘 𐄊 𐝃 𐙂 𐘁 𐄒 𐄇 𐝕,SA RO 𐄁 TE 𐄁 VIN 𐄁 PA DE 𐄁 5 ³⁄₄ *306 TU 10 DI NA U 4 QE PU 2 *324 DI RA 2 ¹⁄₂ TA I AROM 2 ¹⁄₂ A RU 4 ¹⁄₄ KU RO 31 ³⁄₄ [?],41,5,0,0,³⁄₄; 𐝕; ¹⁄₂; 𐝆; ¹⁄₂; ¹⁄₄; 𐝃; [?],,DI RA 2 ¹⁄₂ TA,AROM 2 ¹⁄₂ A RU,,,,96,no,,toponym/geography,"administrative context typical for toponyms; co-occurs with commodities: ³⁄₄, 𐝕, ¹⁄₂",approximate match (levenshtein=1); 5 logogram(s) present; text: administrative
Ἄργος,Argos,Argos,arg,place_name,ARUKU,ARUKU,0,1,12,HT9a,Haghia Triada - Villa Magazine,clay,LM IB,0.1,58.0,,DINAU,administrative,tablet (page-shaped),𐘞 𐘁 𐄁 𐘃 𐄁 𐙍 𐄁 𐘂 𐘦 𐄁 𐄋 𐝕 𐙚 𐘹 𐄐 𐘆 𐘅 𐘉 𐄊 𐘿 𐘫 𐄈 𐙰 𐘆 𐘴 𐄈 𐝆 𐘳 𐘚 𐙌 𐄈 𐝆 𐘇 𐘘 𐄊 𐝃 𐙂 𐘁 𐄒 𐄇 𐝕,SA RO 𐄁 TE 𐄁 VIN 𐄁 PA DE 𐄁 5 ³⁄₄ *306 TU 10 DI NA U 4 QE PU 2 *324 DI RA 2 ¹⁄₂ TA I AROM 2 ¹⁄₂ A RU 4 ¹⁄₄ KU RO 31 ³⁄₄ [?],41,5,0,0,³⁄₄; 𐝕; ¹⁄₂; 𐝆; ¹⁄₂; ¹⁄₄; 𐝃; [?],,TA I AROM 2 ¹⁄₂,RU 4 ¹⁄₄ KU RO,,,,96,no,,toponym/geography,"administrative context typical for toponyms; co-occurs with commodities: ³⁄₄, 𐝕, ¹⁄₂",exact phonetic match; 5 logogram(s) present; text: administrative
Ἄργος,Argos,Argos,arg,place_name,ARUKU,AKUKU,1,1,60,HT45b,Haghia Triada - Villa Magazine,clay,LM IB,0.1,43.0,,𐝫—8,administrative,tablet (page-shaped),𐝫 — 𐝫 𐄎 𐝂 𐝂 𐚺 𐝉 𐝫 𐙂 𐝃 — 𐙪 𐄁 𐙙 𐄍 𐚺 𐝉 𐘂 𐝫 𐄁 𐝫 𐘇 𐄑 𐝁 𐄁 𐙂 𐝃 𐙂 𐝃,𐝫 — 8 double mina ? 𐝉 ? ¹⁄₄ ? — *318 *305 7 ? QA2+[?]+RE+PU ? PA A 20 ¹⁄₃ ? 𐄁 KU ¹⁄₄ KU ¹⁄₄ vase ta? vase,30,10,0,0,mina; 𐝂; 𐝉; 𐚺; —; 𐝃; PA; ¹⁄₄; 𐝁; vase; vase,,"7 
 QA2+[?]+RE+PU 
 PA","20 ¹⁄₃ 
 𐄁 KU",,,,96,no,,toponym/geography,"administrative context typical for toponyms; co-occurs with commodities: mina, 𐝂, 𐝉",approximate match (levenshtein=1); 10 logogram(s) present; text: administrative
Ἄργος,Argos,Argos,arg,place_name,ARUKU,AKU,1,1,1231,KH99,Khania,clay,Uncertain,0.1,43.0,,A*118,administrative,tablet (page-shaped),𐝫 𐘂 𐘭 𐘦 𐝫 𐝫 𐘇 𐘤 𐙈 𐝫 𐙂 𐘾 𐝫,"PA RI DE ? A *118 ? KU KA 𐝫 ta? ?,pte? 𐝫",13,0,0,0,,,"PA RI DE 
","*118 
 KU KA 𐝫",,,,226,no,,toponym/geography,administrative context typical for toponyms,approximate match (levenshtein=1); text: administrative
Ἄργος,Argos,Argos,arg,place_name,ARUKU,AKU,1,1,1449,PA1,Papourou,clay,Uncertain,0.1,43.0,,AKUJU,administrative,tablet (page-shaped),𐘇 𐙂 𐘶 𐘂 𐙈 𐄒 𐄋,A KU JU PA *118 35 𐄋,7,0,0,0,,,,KU JU PA *118 35,,,,1,no,,toponym/geography,administrative context typical for toponyms,approximate match (levenshtein=1); text: administrative
Ἄργος,Argos,Argos,arg,place_name,ARUKU,ADUKU,1,1,1598,TY3a,Tylissos,clay,Uncertain,0.2,46.0,"OLE+U,OLE",¹⁄₄,administrative,tablet (page-shaped),𐝫 𐘍 𐙭 𐜓 𐄐 𐄋 𐝃 𐜋 𐄑 𐄈 𐘗 𐘸 𐄋 𐜌 𐄉 𐝆 𐜗 𐝫 𐜋 𐄍 𐝆 — 𐘇 𐘬 𐝫 𐄁 𐝫 𐜓 𐄔 𐄇 𐜔 𐄈 𐝂 𐜕 𐄇 𐜌 𐄊 𐝆 𐝫 𐙋 𐝫 𐄊 𐝫 — 𐘇 𐘀 𐜋 𐄑 𐄇 𐜗 𐄈 𐝫 𐝫 𐘺 𐘇 𐘬 𐘮 𐙖 𐝫 𐄍 𐝂 — 𐘇 𐙂 𐘹 𐚕 𐝫 𐝫 𐘸 𐄋 𐜖 𐄇 —,ZA *321 OLE+KI 15 ¹⁄₄ ? OLE+U ? NE KI ? OLE+QIf 3 ? OLE+MI ? 7 ¹⁄₂ — ? A 𐄁 OLE+KI 51 ? OLE+KI+U 2 ¹⁄₅ ? OLE+KI+ME ? OLE+QIf 4 ? OLIV ? — ? DA OLE+U 21 ? OLE+MI ? A DU WA OLE 7 ? — ? KU TU *361 ? KI 5 ? OLE+TU 1 — a ta? ja [?] 𐝫 𐝫 ? 𐄋 weigh D 𐄇 —,73,7,0,5,OLE+U; 𐝃; 𐝆; A; 4; 𐝂; 1; [?]; 𐚕,15; 7; —; ¹⁄₅; WA; weigh D,"
 7 ¹⁄₂ — 
","𐄁 OLE+KI 51 
 OLE+KI+U",,,,6,no,,toponym/geography,"administrative context typical for toponyms; co-occurs with commodities: OLE+U, 𐝃, 𐝆",approximate match (levenshtein=1); 7 logogram(s) present; text: administrative
Ἄργος,Argos,Argos,arg,place_name,ARUKU,ARUKURO,1,1,12,HT9a,Haghia Triada - Villa Magazine,clay,LM IB,0.1,43.0,,DINAU,administrative,tablet (page-shaped),𐘞 𐘁 𐄁 𐘃 𐄁 𐙍 𐄁 𐘂 𐘦 𐄁 𐄋 𐝕 𐙚 𐘹 𐄐 𐘆 𐘅 𐘉 𐄊 𐘿 𐘫 𐄈 𐙰 𐘆 𐘴 𐄈 𐝆 𐘳 𐘚 𐙌 𐄈 𐝆 𐘇 𐘘 𐄊 𐝃 𐙂 𐘁 𐄒 𐄇 𐝕,SA RO 𐄁 TE 𐄁 VIN 𐄁 PA DE 𐄁 5 ³⁄₄ *306 TU 10 DI NA U 4 QE PU 2 *324 DI RA 2 ¹⁄₂ TA I AROM 2 ¹⁄₂ A RU 4 ¹⁄₄ KU RO 31 ³⁄₄ [?],41,5,0,0,³⁄₄; 𐝕; ¹⁄₂; 𐝆; ¹⁄₂; ¹⁄₄; 𐝃; [?],,TA I AROM 2 ¹⁄₂,RU 4 ¹⁄₄ KU RO,,,,96,no,,toponym/geography,"administrative context typical for toponyms; co-occurs with commodities: ³⁄₄, 𐝕, ¹⁄₂",approximate match (levenshtein=1); 5 logogram(s) present; text: administrative
Ἄργος,Argos,Argos,arg,place_name,ARUKU,MURUKU,1,1,61,HT46a,Haghia Triada - Villa Magazine,clay,LM IB,0.1,43.0,,𐝫MURU,administrative,tablet (page-shaped),𐝫 𐝫 𐘕 𐘘 𐄇 𐝫 𐝫 𐙂 𐘁 𐄓 𐄉 𐝆,𐝫 MU RU 1 ? KU 43 ¹⁄₂ ro 𐄓 𐄉 vase,12,1,0,0,vase; 𐝆,,𐝫,"RU 1 
 KU 43",,,,96,no,,toponym/geography,"administrative context typical for toponyms; co-occurs with commodities: vase, 𐝆",approximate match (levenshtein=1); 1 logogram(s) present; text: administrative
Ἄργος,Argos,Argos,arg,place_name,ARUKU,KARUKU,1,1,106,HT86a,Haghia Triada - Casa Room 7,clay,LM IB,0.1,43.0,,KARU𐄁,administrative,tablet (page-shaped),𐘇 𐘾 𐘘 𐄁 𐙂 𐘝 𐘲 𐛷 𐄑 𐘞 𐘘 𐄑 𐘆 𐘦 𐘘 𐄑 𐘌 𐘽 𐘮 𐄐 — 𐘇 𐘬 𐄁 𐘀 𐘋 𐛳 𐄑 𐘻 𐘯 𐘃 𐄑,A KA RU 𐄁 KU NI SU GRA+K+L 20 SA RU 20 DI DE RU 20 QA RA₂ WA 10 — A DU 𐄁 DA ME GRA+B 20 MI NU TE 20,32,0,0,2,,GRA+K+L; GRA+B,A,RU 𐄁 KU NI SU,,,,42,no,,toponym/geography,administrative context typical for toponyms,approximate match (levenshtein=1); text: administrative
Ἄργος,Argos,Argos,arg,place_name,ARUKU,KARUKU,1,1,107,HT86b,Haghia Triada - Casa Room 7,clay,LM IB,0.1,43.0,,KARU𐄁,administrative,tablet (page-shaped),𐘇 𐘾 𐘘 𐄁 𐙂 𐘝 𐘲 𐛷 𐄑 𐘞 𐘘 𐄑 𐘆 𐘦,A KA RU 𐄁 KU NI SU GRA+K+L 20 SA RU 20 DI DE,14,0,0,1,,GRA+K+L,A,RU 𐄁 KU NI SU,,,,42,no,,toponym/geography,administrative context typical for toponyms,approximate match (levenshtein=1); text: administrative
