la_ab,la_char,la_lb_value,cm_sign,cm_desc,cg_value,cg_char,cg_unicode,inferred_la_phonetic,triangular_confidence,notes
AB 51,𐘱,du,CM 046,Hourglass shape,du,,,du,MEDIUM,"LA↔CM: MEDIUM. CM↔CG: MEDIUM. LA↔CM=MEDIUM, CM↔CG=MEDIUM. Needs further evidence."
AB 54,𐘴,wa?,CM 062,Angle bracket pair,wa,𐠲,U+10832,wa,LOW,"LA↔CM: MEDIUM. CM↔CG: LOW. LA↔CM=MEDIUM, CM↔CG=LOW. Needs further evidence."
AB 58,𐘸,su,CM 034,Ladder-like sign,su,𐠬,U+1082C,su,MEDIUM,"LA↔CM: MEDIUM. CM↔CG: MEDIUM. LA↔CM=MEDIUM, CM↔CG=MEDIUM. Needs further evidence."
AB 63,𐘼,ke,CM 064,Key / cross with loop,ke,𐠋,U+1080B,ke,MEDIUM,"LA↔CM: MEDIUM. CM↔CG: MEDIUM. LA↔CM=MEDIUM, CM↔CG=MEDIUM. Needs further evidence."
AB 69,𐙂,tu,CM 039,Arrow pointing down,tu,𐠱,U+10831,tu,MEDIUM,"LA↔CM: MEDIUM. CM↔CG: HIGH. Moderate LA↔CM, strong CM↔CG."
AB 72,𐙅,pe,CM 059,Bilateral comb,pe,𐠟,U+1081F,pe,MEDIUM,"LA↔CM: MEDIUM. CM↔CG: MEDIUM. LA↔CM=MEDIUM, CM↔CG=MEDIUM. Needs further evidence."
AB 74,𐙇,ze,CM 003,Triangle with central stroke,ze,𐠷,U+10837,ze,MEDIUM,"LA↔CM: MEDIUM. CM↔CG: MEDIUM. LA↔CM=MEDIUM, CM↔CG=MEDIUM. Needs further evidence."
AB 76,𐙈,ra,CM 018,Circle with attached line,pi,𐠠,U+10820,pi,MEDIUM,"LA↔CM: MEDIUM. CM↔CG: HIGH. Moderate LA↔CM, strong CM↔CG."
AB 83,𐙏,la,CM 009,Arrowhead / triangular wedge,la,𐠏,U+1080F,la,MEDIUM,"LA↔CM: MEDIUM. CM↔CG: MEDIUM. LA↔CM=MEDIUM, CM↔CG=MEDIUM. Needs further evidence."
AB 85,𐙐,au?,CM 065,Cross with extra bar,au,,,au,LOW,"LA↔CM: MEDIUM. CM↔CG: LOW. LA↔CM=MEDIUM, CM↔CG=LOW. Needs further evidence."
AB 86,𐙑,dwo?,CM 016,Comb-sign (multiple verticals),lo,𐠒,U+10812,lo,LOW,"LA↔CM: MEDIUM. CM↔CG: LOW. LA↔CM=MEDIUM, CM↔CG=LOW. Needs further evidence."
AB 35,𐘢,ti?,CM 053,Dumbbell / double-circle,ti,𐠯,U+1082F,ti,LOW,"LA↔CM: LOW. CM↔CG: LOW. LA↔CM=LOW, CM↔CG=LOW. Needs further evidence."
AB 39,𐘥,pi?,CM 058,Triangular cluster,pe,𐠟,U+1081F,pe,LOW,"LA↔CM: LOW. CM↔CG: LOW. LA↔CM=LOW, CM↔CG=LOW. Needs further evidence."
AB 41,𐘧,si?,CM 040,Anchored T-shape,si,𐠪,U+1082A,si,LOW,"LA↔CM: LOW. CM↔CG: LOW. LA↔CM=LOW, CM↔CG=LOW. Needs further evidence."
AB 45,𐘫,de,CM 017,Zigzag horizontal,de,,,de,LOW,"LA↔CM: LOW. CM↔CG: LOW. LA↔CM=LOW, CM↔CG=LOW. Needs further evidence."
AB 56,𐘶,pa?,CM 051,Five-dot quincunx,pa,𐠞,U+1081E,pa,LOW,"LA↔CM: LOW. CM↔CG: LOW. LA↔CM=LOW, CM↔CG=LOW. Needs further evidence."
AB 57,𐘷,ja?,CM 063,Rectangular spiral,ja,𐠅,U+10805,ja,LOW,"LA↔CM: LOW. CM↔CG: LOW. LA↔CM=LOW, CM↔CG=LOW. Needs further evidence."
AB 59,𐘹,ta?,CM 048,Rectangular box divided,ta,𐠭,U+1082D,ta,LOW,"LA↔CM: LOW. CM↔CG: LOW. LA↔CM=LOW, CM↔CG=LOW. Needs further evidence."
AB 64,𐘽,swi?,CM 036,Double circle,o,𐠃,U+10803,o,LOW,"LA↔CM: LOW. CM↔CG: LOW. LA↔CM=LOW, CM↔CG=LOW. Needs further evidence."
AB 65,𐘾,ju?,CM 027,Dotted circle (logogram?),jo,,,jo,LOW,"LA↔CM: LOW. CM↔CG: LOW. LA↔CM=LOW, CM↔CG=LOW. Needs further evidence."
AB 66,𐘿,ta?,CM 022,Square with internal dot,ta,𐠭,U+1082D,ta,LOW,"LA↔CM: LOW. CM↔CG: LOW. LA↔CM=LOW, CM↔CG=LOW. Needs further evidence."
AB 68,𐙁,ro?,CM 021,Diamond shape,ro,𐠦,U+10826,ro,LOW,"LA↔CM: LOW. CM↔CG: LOW. LA↔CM=LOW, CM↔CG=LOW. Needs further evidence."
AB 71,𐙄,dwe?,CM 044,Cross-hatched square,ke,𐠋,U+1080B,ke,LOW,"LA↔CM: LOW. CM↔CG: LOW. LA↔CM=LOW, CM↔CG=LOW. Needs further evidence."
AB 73,𐙆,mi?,CM 061,Circle with tail,mi,𐠖,U+10816,mi,LOW,"LA↔CM: LOW. CM↔CG: LOW. LA↔CM=LOW, CM↔CG=LOW. Needs further evidence."
AB 78,𐙊,qe,CM 024,Cross with circle at centre,ka,𐠊,U+1080A,ka,LOW,"LA↔CM: LOW. CM↔CG: MEDIUM. LA↔CM=LOW, CM↔CG=MEDIUM. Needs further evidence."
AB 79,𐙋,zu?,CM 003,Triangle with central stroke,ze,𐠷,U+10837,ze,LOW,"LA↔CM: LOW. CM↔CG: MEDIUM. LA↔CM=LOW, CM↔CG=MEDIUM. Needs further evidence."
AB 80,𐙌,ma?,CM 051,Five-dot quincunx,pa,𐠞,U+1081E,pa,LOW,"LA↔CM: LOW. CM↔CG: LOW. LA↔CM=LOW, CM↔CG=LOW. Needs further evidence."
AB 82,𐙎,swa?,CM 036,Double circle,o,𐠃,U+10803,o,LOW,"LA↔CM: LOW. CM↔CG: LOW. LA↔CM=LOW, CM↔CG=LOW. Needs further evidence."
AB 87,𐙒,two?,CM 016,Comb-sign (multiple verticals),lo,𐠒,U+10812,lo,LOW,"LA↔CM: LOW. CM↔CG: LOW. LA↔CM=LOW, CM↔CG=LOW. Needs further evidence."
AB 88,𐙓,nwa?,CM 016,Comb-sign (multiple verticals),lo,𐠒,U+10812,lo,LOW,"LA↔CM: LOW. CM↔CG: LOW. LA↔CM=LOW, CM↔CG=LOW. Needs further evidence."
AB 89,𐙔,mi?,CM 045,Circle with two attached lines,mi,𐠖,U+10816,mi,LOW,"LA↔CM: LOW. CM↔CG: MEDIUM. LA↔CM=LOW, CM↔CG=MEDIUM. Needs further evidence."
AB 90,𐙕,dwo?,CM 016,Comb-sign (multiple verticals),lo,𐠒,U+10812,lo,LOW,"LA↔CM: LOW. CM↔CG: LOW. LA↔CM=LOW, CM↔CG=LOW. Needs further evidence."
AB 91,𐙖,two?,CM 016,Comb-sign (multiple verticals),lo,𐠒,U+10812,lo,LOW,"LA↔CM: LOW. CM↔CG: LOW. LA↔CM=LOW, CM↔CG=LOW. Needs further evidence."
AB 92,𐙗,pte?,CM 019,Three-pronged fork,je,,,je,LOW,"LA↔CM: LOW. CM↔CG: LOW. LA↔CM=LOW, CM↔CG=LOW. Needs further evidence."
AB 93,𐙘,ra?,CM 018,Circle with attached line,pi,𐠠,U+10820,pi,LOW,"LA↔CM: LOW. CM↔CG: HIGH. LA↔CM=LOW, CM↔CG=HIGH. Needs further evidence."
AB 94,𐙙,re?,CM 038,Angle bracket with internal stroke,re,𐠤,U+10824,re,LOW,"LA↔CM: LOW. CM↔CG: HIGH. LA↔CM=LOW, CM↔CG=HIGH. Needs further evidence."
AB 95,𐙚,te?,CM 049,Fork with long handle,te,𐠮,U+1082E,te,LOW,"LA↔CM: LOW. CM↔CG: HIGH. LA↔CM=LOW, CM↔CG=HIGH. Needs further evidence."
AB 96,𐙛,nwa?,CM 016,Comb-sign (multiple verticals),lo,𐠒,U+10812,lo,LOW,"LA↔CM: LOW. CM↔CG: LOW. LA↔CM=LOW, CM↔CG=LOW. Needs further evidence."
AB 97,𐙜,swa?,CM 036,Double circle,o,𐠃,U+10803,o,LOW,"LA↔CM: LOW. CM↔CG: LOW. LA↔CM=LOW, CM↔CG=LOW. Needs further evidence."
AB 98,𐙝,dwe?,CM 044,Cross-hatched square,ke,𐠋,U+1080B,ke,LOW,"LA↔CM: LOW. CM↔CG: LOW. LA↔CM=LOW, CM↔CG=LOW. Needs further evidence."
AB 99,𐙞,mra?,CM 008,Rectangular frame with cross,ma,𐠔,U+10814,ma,LOW,"LA↔CM: LOW. CM↔CG: HIGH. LA↔CM=LOW, CM↔CG=HIGH. Needs further evidence."
AB 100,𐙟,twe?,CM 011,T-shaped sign,to,𐠰,U+10830,to,LOW,"LA↔CM: LOW. CM↔CG: MEDIUM. LA↔CM=LOW, CM↔CG=MEDIUM. Needs further evidence."
